"filename", "language", "JavaScript", "JSON", "Markdown", "Dotenv", "HTML", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\README.md", "Markdown", 0, 0, 185, 0, 0, 0, 0, 0, 0, 59, 244
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\package-lock.json", "JSON", 0, 17756, 0, 0, 0, 0, 0, 0, 0, 1, 17757
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\package.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\public\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\App.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\api\axios.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 3, 5, 40
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\api\index.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 6, 6, 53
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\components\Analyticspage.js", "JavaScript", 286, 0, 0, 0, 0, 0, 0, 0, 2, 19, 307
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\components\Login.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 17, 135
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\context\AuthContext.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 14, 96
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\pages\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 366, 0, 0, 12, 22, 400
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\pages\CloserDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 365, 0, 0, 6, 32, 403
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\src\pages\WarmerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 323, 0, 0, 12, 33, 368
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\tailwind.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\client\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\complete_integration.md", "Markdown", 0, 0, 265, 0, 0, 0, 0, 0, 0, 56, 321
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\content\content.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\integration.md", "Markdown", 0, 0, 209, 0, 0, 0, 0, 0, 0, 49, 258
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\package-lock.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\read_for_testing.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 10, 23
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\routes\activities.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\routes\analytics.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\routes\auth.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\routes\leads.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\routes\tasks.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\routes\users.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\.env", "Dotenv", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\package-lock.json", "JSON", 0, 1809, 0, 0, 0, 0, 0, 0, 0, 1, 1810
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\config\db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\controllers\activityController.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 13, 17, 113
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\controllers\analyticsController.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 0, 24, 22, 253
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\controllers\authController.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 24, 21, 167
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\controllers\leadController.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 0, 35, 50, 380
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\controllers\taskController.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 0, 22, 25, 197
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\controllers\userController.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 21, 22, 186
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\middleware\auth.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 6, 8, 55
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\middleware\error.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 4, 6, 32
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\models\Activity.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 1, 3, 58
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\models\Lead.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 7, 3, 121
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\models\Task.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\models\User.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 6, 5, 112
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\routes\activities.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\routes\analytics.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\routes\auth.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\routes\leads.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\routes\tasks.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\routes\users.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\server.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 10, 12, 63
"c:\Users\zaids\Desktop\sentinelx-v0.0.1\server\src\utils\seed.js", "JavaScript", 343, 0, 0, 0, 0, 0, 0, 0, 8, 23, 374
"Total", "-", 2629, 19665, 683, 5, 27, 1054, 40, 1, 224, 616, 24944
